"GEOID","af.am","am.ind","asian","hispanic","median.gross.rent","median.household.income","multiple","nh.pi","other","population","rent.burden","white","checkTot","pct.white","pct.af.am","pct.hispanic","pct.am.ind","pct.asian","pct.nh.pi","pct.multiple","pct.other","year"
"24001",4895,68,631,1377,743,55248,1943,5,134,68161,30.4,59108,68161,0.867182112938484,0.0718152609263362,0.0202021683954167,0.000997637945452678,0.00925749328795059,7.33557312832852e-05,0.0285060371766846,0.00196593359839204,2022
"24003",101009,565,23572,51224,1908,116009,28755,268,2690,588109,29,380026,588109,0.646182935476247,0.171752175192014,0.0870995002627064,0.000960706263634802,0.0400810053918576,0.000455697838325889,0.0488939975412721,0.00457398203394269,2022
"24005",252089,1212,51521,51697,1479,88157,30439,352,3520,850737,31.3,459907,850737,0.540598328273015,0.296318368661525,0.0607673111666708,0.00142464710010262,0.0605604317197912,0.000413758893759176,0.0357795652475442,0.00413758893759176,2022
"24009",11305,84,1837,4319,1589,128078,4808,49,380,93244,28.7,70462,93244,0.755673287289263,0.121241045000214,0.0463193342198962,0.000900862253871563,0.0197009995281198,0.000525502981425078,0.0515636394835056,0.00407532924370469,2022
"24011",4385,20,152,2736,1074,65326,1366,0,250,33320,31.8,24411,33320,0.732623049219688,0.131602641056423,0.0821128451380552,0.000600240096038415,0.00456182472989196,0,0.0409963985594238,0.00750300120048019,2022
"24013",6339,221,3846,7169,1283,111672,4438,24,860,173225,28.5,150328,173225,0.867819310145764,0.0365940251118488,0.0413854813104344,0.00127579737335835,0.0222023379997114,0.000138548131043441,0.0256198585654496,0.00496464136238996,2022
"24015",6816,109,1394,5069,1322,86869,4166,36,557,103876,30.8,85729,103876,0.825301320805576,0.0656166968308368,0.0487985675228157,0.0010493280449767,0.0134198467403443,0.000346567060726251,0.0401055104162655,0.00536216257845893,2022
"24017",80640,467,5328,11269,1839,116882,9577,25,815,167035,28.7,58914,167035,0.352704523004161,0.482773071511959,0.0674649025653306,0.00279582123507049,0.0318975065106115,0.000149669230999491,0.0573352890112851,0.00487921693058341,2022
"24019",8327,4,438,1992,968,57490,1658,0,165,32557,32.3,19973,32557,0.613477900297939,0.255766808981171,0.0611849986178088,0.000122861443007648,0.0134533280093375,0,0.0509260681266701,0.00506803452406549,2022
"24021",26801,376,13508,30072,1633,115724,11933,81,733,273829,28.9,190325,273829,0.695050560751418,0.0978749511556482,0.109820362342922,0.00137311972070161,0.0493300563490353,0.000295805046214974,0.043578291561522,0.00267685307253797,2022
"24023",364,13,120,362,681,64447,280,17,103,28856,23.3,27597,28856,0.956369559190463,0.0126143609647907,0.01254505128916,0.000450512891599667,0.00415858053784308,0.000589132242861103,0.00970335458830053,0.00356944829498198,2022
"24025",36600,115,7464,12948,1475,106417,10290,120,1281,261059,28.8,192241,261059,0.736389092120938,0.140198192745701,0.0495979835975776,0.000440513447151793,0.0285912379960086,0.00045966620572361,0.0394163771407996,0.00490693674609954,2022
"24027",65349,325,62531,24823,1920,140971,16176,188,2063,332011,28.2,160556,332011,0.483586387198015,0.196827815945857,0.0747655951158245,0.000978883229772507,0.18834014535663,0.000566246299068404,0.0487212773070772,0.00621364954775595,2022
"24029",2715,4,187,900,1072,71635,547,1,112,19289,32.8,14823,19289,0.768469075638965,0.140753797501166,0.0466587174037016,0.000207372077349785,0.00969464461610244,5.18430193374462e-05,0.0283581315775831,0.00580641816579398,2022
"24031",191958,1411,160373,211486,1957,125583,44715,389,8959,1056910,30.2,437619,1056910,0.414055122952759,0.181621897796407,0.200098400052985,0.00133502379578204,0.151737612474099,0.000368054044336793,0.0423072920116188,0.0084765968720137,2022
"24033",578048,2033,38720,190973,1713,97935,30844,278,5503,957189,31.2,110790,957189,0.115745166315116,0.603901632801881,0.199514411469417,0.00212392745842253,0.0404517812051747,0.000290433759685914,0.0322235211645767,0.00574912582572512,2022
"24035",2925,9,557,2303,1600,108332,1896,0,285,50316,31.6,42341,50316,0.841501709197869,0.0581326019556404,0.0457707289927657,0.000178869544478893,0.0110700373638604,0,0.0376818507035535,0.00566420224183162,2022
"24037",16247,62,2818,6471,1595,113668,6126,0,417,113814,26.3,81673,113814,0.717600646669127,0.142750452492663,0.0568559228214455,0.000544748449224173,0.0247596956437697,0,0.0538246612894723,0.00366387263429807,2022
"24039",9595,38,206,988,934,52149,1018,0,42,24672,36.3,12785,24672,0.518198767833982,0.388902399481193,0.0400453955901427,0.0015402075226978,0.00834954604409857,0,0.0412613488975357,0.00170233463035019,2022
"24041",4563,40,488,2744,1204,81667,927,0,128,37663,29,28773,37663,0.763959323473966,0.121153386612856,0.0728566497623662,0.00106205028808114,0.0129570135145899,0,0.0246130154262804,0.00339856092185965,2022
"24043",17099,114,2693,9630,1049,73017,6678,131,361,154645,28.4,117939,154645,0.762643473762488,0.110569368553784,0.0622716544343496,0.000737172233179217,0.0174140774030845,0.000847101425846293,0.0431827734488668,0.00233437873840085,2022
"24045",26794,92,2922,5949,1190,69421,4745,28,229,103815,30.3,63056,103815,0.607388142368636,0.25809372441362,0.0573038578240139,0.000886191783460964,0.0281462216442711,0.000269710542792467,0.0457063044839378,0.00220584693926697,2022
"24047",6459,20,802,2023,1144,76689,1522,0,284,52827,31.9,41717,52827,0.789690877770837,0.122267022545289,0.0382948113654003,0.000378594279440438,0.0151816306055616,0,0.0288110246654173,0.00537603876805421,2022
"24510",354555,1078,14875,34381,1235,58349,18973,113,2661,584548,31.2,157912,584548,0.270143769202871,0.606545570252571,0.0588163846253858,0.00184415993211849,0.0254470120503363,0.000193311755407597,0.0324575569499853,0.00455223523132403,2022
